Transaction ID,Transaction Date,Release Date,CustomerID,CustFirstName,CustLastName,CivilStatus,Gender,CustBirthday,CustSegment,VehicleID,Color,Manufacturer,Model,ModelYear,Type,TransmissionType,FuelType,SRP,EmployeeID,EmpFirstName,EmpLastName,EmpDesignation,BranchID,DiscountProvided,MiscellaneousFees,PaymentMethod,PlateNumber
TXN-ED-5045-117,29/04/2023,02/05/2023,CUST01680,Elaine,Del Rosario,Married,Female,23450,Business,VEH051SLVCVT-GAS,Silver,Subaru,XV,2025,SUV,CVT,Gas,2140000,EMP0117,Kevin,Santiago,Junior,BR026,17500,33500,Bank Financing,ACG 6577
TXN-AF-5739-119,23/03/2025,01/04/2025,CUST05575,Aileen,Flores,Married,Female,27475,Business,VEH014GRYMT-DSL,Gray,Foton,Thunder,2022,Pick-Up,Manual,Diesel,1490000,EMP0119,Jasmine,Castillo,Junior,BR027,5000,70500,Trade-in + Financing,ICC 8687
TXN-CT-4099-160,25/09/2020,02/10/2020,CUST05926,Christian,Tolentino,Married,Male,29630,Business,VEH036GRNAT-ELEC,Green,BYD,Dolphin,2024,Hatchback,Automatic,Electric,2080000,EMP0160,Angela,Ramos,Mid-Level,BR036,133000,53500,Cash,RUZ 8834
TXN-EM-5589-102,24/10/2024,27/10/2024,CUST02804,Emmanuel,Mendoza,Widowed,Male,27426,Personal,VEH022GRNCVT-GAS,Green,Honda,City,2024,Sedan,CVT,Gas,1180000,EMP0102,Grace,Estrada,Mid-Level,BR023,17500,24500,Bank Financing,HYR 2370
TXN-CC-5307-015,16/01/2024,24/01/2024,CUST05156,Catherine,Castillo,Married,Female,25695,Personal,VEH088ORGAT-DSL,Orange,Isuzu,D-MAX,2026,Pick-Up,Automatic,Diesel,1720000,EMP0015,Janine,Dela Cruz,Junior,BR004,0,42500,In-house Financing,QDD 7574
TXN-ES-4583-137,22/01/2022,01/02/2022,CUST01490,Erika,Soriano,Divorced,Female,19117,Personal,VEH073REDAT-ELEC,Red,Nissan,Leaf,2026,Hatchback,Automatic,Electric,3090000,EMP0137,Angela,Padilla,Mid-Level,BR031,36000,79500,Bank Financing,UKB 3959
TXN-SP-4940-147,14/01/2023,24/01/2023,CUST05574,Samantha,Perez,Single,Female,36678,Personal,VEH041GRNAT-GAS,Green,Chevrolet,Tracker,2026,SUV,Automatic,Gas,1510000,EMP0147,Julius,Marquez,Junior,BR033,53500,50000,Cash,ASS 9751
TXN-JJ-6101-146,20/03/2026,24/03/2026,CUST02647,Jose,Jacinto,Married,Male,21158,Personal,VEH078ORGAT-HYB,Orange,Hyundai,Tucson,2025,SUV,Automatic,Hybrid,2080000,EMP0146,Lester,De Leon,Mid-Level,BR033,6000,64000,Bank Financing,MCJ 9822
TXN-DJ-5275-008,15/12/2023,18/12/2023,CUST02061,Daniel,Jacinto,Married,Male,26448,Personal,VEH072GRYMT-DSL,Gray,Ford,Ranger,2020,Pick-Up,Manual,Diesel,1360000,EMP0008,Rachelle,Villanueva,Mid-Level,BR002,0,85000,Cash,NPZ 9767
TXN-CS-5510-098,06/08/2024,13/08/2024,CUST01983,Carlo,Salazar,Married,Male,29866,Personal,VEH027BLUCVT-HYB,Blue,Chery,Tiggo 5X Pro,2022,SUV,CVT,Hybrid,1520000,EMP0098,Catherine,Velasco,Mid-Level,BR022,70500,74000,Bank Financing,PFF 0629
TXN-PC-4547-004,17/12/2021,27/12/2021,CUST08835,Patricia,Chan,Married,Female,29027,Personal,VEH039ORGAT-DSL,Orange,Toyota,Hilux,2022,Pick-Up,Automatic,Diesel,1580000,EMP0004,Grace,Flores,Senior,BR001,49500,43000,Bank Financing,UUE 0444
TXN-JC-4862-081,28/10/2022,02/11/2022,CUST05560,Janelle,Co,Widowed,Female,33265,Personal,VEH012ORGCVT-GAS,Orange,Chery,Tiggo 2 Pro,2023,SUV,CVT,Gas,1020000,EMP0081,Mara,Chua,Senior,BR018,0,68000,Cash,LKH 2948
TXN-AD-5209-057,10/10/2023,16/10/2023,CUST02725,Allan,De Leon,Married,Male,25003,Personal,VEH025PRLCVT-GAS,Pearl White,MG,MG 5,2021,Sedan,CVT,Gas,940000,EMP0057,Carlos,Fernandez,Senior,BR013,0,46000,Cash,KBJ 9274
TXN-TM-5441-123,29/05/2024,02/06/2024,CUST02537,Trisha,Manalo,Widowed,Female,25860,Business,VEH016GRYAT-DSL,Gray,Toyota,Innova,2020,MPV,Automatic,Diesel,1630000,EMP0123,Nathan,Bernardo,Senior,BR028,116000,79000,Company Purchase,POT 0558
TXN-RA-6147-136,05/05/2026,09/05/2026,CUST03854,Ramon,Abad,Single,Male,35588,Business,VEH093REDAT-GAS,Red,Toyota,Innova,2024,MPV,Automatic,Gas,1480000,EMP0136,Gabriel,Fernandez,Manager,BR031,0,24000,Bank Financing,PQK 5592
TXN-DD-3992-054,10/06/2020,14/06/2020,CUST05181,Dianne,Dela Cruz,Married,Female,35030,Personal,VEH037BRZCVT-GAS,Bronze,Nissan,Almera,2025,Sedan,CVT,Gas,1140000,EMP0054,Ella,Fernandez,Mid-Level,BR012,11000,75000,Bank Financing,OCN 5130
TXN-RC-5371-175,20/03/2024,24/03/2024,CUST00129,Ronald,Castillo,Single,Male,39585,Personal,VEH012ORGCVT-GAS,Orange,Chery,Tiggo 2 Pro,2023,SUV,CVT,Gas,1020000,EMP0175,Jerome,Castillo,Senior,BR039,14000,84500,Trade-in + Financing,CWG 8712
TXN-JO-4375-033,28/06/2021,02/07/2021,CUST04115,Jeffrey,Ong,Single,Male,37366,Personal,VEH023PRLCVT-GAS,Pearl White,Honda,Civic,2022,Sedan,CVT,Gas,1630000,EMP0033,Aaron,Rivera,Senior,BR008,39500,79000,Bank Financing,HAU 6275
TXN-MD-4487-178,18/10/2021,22/10/2021,CUST06050,Michael,De Leon,Divorced,Male,32401,Personal,VEH072BGEMT-DSL,Beige,Ford,Ranger,2020,Pick-Up,Manual,Diesel,1360000,EMP0178,Emmanuel,Soriano,Mid-Level,BR040,36500,19500,Bank Financing,BJY 9036
TXN-KT-5376-031,25/03/2024,30/03/2024,CUST03879,Kathleen,Tan,Married,Female,25278,Personal,VEH027REDCVT-GAS,Red,Chery,Tiggo 5X Pro,2022,SUV,CVT,Gas,1230000,EMP0031,Mikaela,Rosales,Mid-Level,BR007,73000,35500,Cash,TIY 8882
TXN-AO-6191-041,18/06/2026,23/06/2026,CUST03270,Abigail,Ong,Married,Female,30820,Personal,VEH087BGEAT-DSL,Beige,Kia,Carnival,2026,Van,Automatic,Diesel,3050000,EMP0041,Kristine,Navarro,Manager,BR010,39500,44000,In-house Financing,WFR 3207
TXN-JM-4572-137,11/01/2022,17/01/2022,CUST04280,James,Mendoza,Married,Male,30386,Personal,VEH080GRNMT-GAS,Green,Toyota,Avanza,2023,MPV,Manual,Gas,1120000,EMP0137,Angela,Padilla,Mid-Level,BR031,0,30000,Cash,PIU 4918
TXN-EA-4443-065,04/09/2021,10/09/2021,CUST05968,Emmanuel,Alcantara,Widowed,Male,16665,Personal,VEH037BRZCVT-GAS,Bronze,Nissan,Almera,2025,Sedan,CVT,Gas,1140000,EMP0065,Francis,Gonzales,Junior,BR015,75000,41000,Trade-in + Financing,QRD 9563
TXN-AC-4562-123,01/01/2022,04/01/2022,CUST04931,Alvin,Castillo,Single,Male,36919,Personal,VEH100WHTCVT-GAS,White,Honda,Civic,2022,Sedan,CVT,Gas,1730000,EMP0123,Nathan,Bernardo,Senior,BR028,26000,38000,Bank Financing,FUP 3465
TXN-RV-4213-175,17/01/2021,27/01/2021,CUST08446,Ronald,Villanueva,Widowed,Male,31408,Business,VEH084SLVMT-DSL,Silver,Mazda,BT-50,2026,Pick-Up,Manual,Diesel,1720000,EMP0175,Jerome,Castillo,Senior,BR039,0,52000,Cash,YGI 8109
TXN-MM-5019-026,03/04/2023,13/04/2023,CUST06292,Michelle,Martinez,Single,Female,36641,Personal,VEH053SLVMT-DSL,Silver,Nissan,Navara,2021,Pick-Up,Manual,Diesel,1520000,EMP0026,Marian,Estrada,Senior,BR006,69500,40500,Cash,RXW 8728
TXN-JD-6123-057,11/04/2026,17/04/2026,CUST02185,Jeffrey,De Leon,Married,Male,30415,Personal,VEH050ORGMT-GAS,Orange,Kia,Soluto,2022,Sedan,Manual,Gas,800000,EMP0057,Carlos,Fernandez,Senior,BR013,0,75000,Bank Financing,YXP 7585
TXN-AC-5050-177,04/05/2023,08/05/2023,CUST08541,Adrian,Co,Married,Male,32586,Business,VEH033BLKAT-DSL,Black,Ford,Everest,2022,SUV,Automatic,Diesel,2230000,EMP0177,Marco,Abad,Junior,BR040,12000,51500,Bank Financing,SGI 8013
TXN-RD-5994-064,03/12/2025,13/12/2025,CUST06813,Rose,Domingo,Married,Female,29449,Personal,VEH009BLUAT-DSL,Blue,Kia,Sorento,2022,SUV,Automatic,Diesel,2670000,EMP0064,Mark Anthony,Flores,Manager,BR015,17500,76000,Bank Financing,UYA 8549
TXN-RM-5949-085,19/10/2025,22/10/2025,CUST08000,Regina,Mercado,Single,Female,30761,Personal,VEH075WHTCVT-GAS,White,Hyundai,Stargazer,2022,MPV,CVT,Gas,1350000,EMP0085,Kristine,Lorenzo,Mid-Level,BR019,75000,44000,Bank Financing,KRU 7899
TXN-RG-5897-103,28/08/2025,05/09/2025,CUST02224,Rafael,Gonzales,Single,Male,36655,Personal,VEH003GRNMT-GAS,Green,Toyota,Avanza,2023,MPV,Manual,Gas,1200000,EMP0103,Ryan,Morales,Junior,BR023,0,71000,Bank Financing,ILI 8294
TXN-DR-4732-150,20/06/2022,28/06/2022,CUST03674,Danica,Resuello,Married,Female,24559,Personal,VEH023BRNCVT-HYB,Brown,Honda,Civic,2022,Sedan,CVT,Hybrid,2020000,EMP0150,Angela,Ong,Junior,BR034,0,61000,Cash,AGV 6241
TXN-AC-6038-111,16/01/2026,25/01/2026,CUST02684,Alvin,Chan,Married,Male,32618,Personal,VEH062BLKAT-DSL,Black,Hyundai,Accent,2026,Sedan,Automatic,Diesel,1280000,EMP0111,Mara,Estrada,Mid-Level,BR025,4000,30000,Cash,IRY 3706
TXN-AF-4366-146,19/06/2021,29/06/2021,CUST00673,Alvin,Francisco,Single,Male,30748,Personal,VEH038GRNMT-DSL,Green,Toyota,Fortuner,2023,SUV,Manual,Diesel,2260000,EMP0146,Lester,De Leon,Mid-Level,BR033,101500,31000,Bank Financing,BQA 4443
TXN-RI-4062-106,19/08/2020,23/08/2020,CUST08818,Renz,Intal,Single,Male,16843,Personal,VEH081REDAT-DSL,Red,Isuzu,mu-X,2023,SUV,Automatic,Diesel,2080000,EMP0106,Bryan,Ramos,Senior,BR024,37000,50500,In-house Financing,PIG 9247
TXN-KO-4917-017,22/12/2022,27/12/2022,CUST02980,Karen,Ong,Single,Female,33923,Personal,VEH092GRNAT-HYB,Green,MG,HS,2023,SUV,Automatic,Hybrid,1860000,EMP0017,Grace,Ramos,Senior,BR004,39000,57500,In-house Financing,IWS 2090
TXN-NN-4117-049,13/10/2020,17/10/2020,CUST07343,Nicole,Natividad,Widowed,Female,18017,Business,VEH095PRLAT-DSL,Pearl White,Nissan,Terra,2023,SUV,Automatic,Diesel,2100000,EMP0049,Dianne,De Leon,Senior,BR011,48000,79500,Bank Financing,RHP 4547
TXN-SC-5494-100,21/07/2024,28/07/2024,CUST01977,Samantha,Chua,Married,Female,32804,Personal,VEH021WHTAT-GAS,White,GAC,GN6,2020,MPV,Automatic,Gas,1190000,EMP0100,Arvin,De Leon,Manager,BR023,19000,45000,Cash,NTE 2479
TXN-MD-5369-114,18/03/2024,22/03/2024,CUST03728,Maria,Dela Cruz,Single,Female,31055,Business,VEH071BLKMT-DSL,Black,Mitsubishi,Strada,2021,Pick-Up,Manual,Diesel,1320000,EMP0114,Paolo,Mercado,Senior,BR026,42500,54000,Cash,NHZ 5618
TXN-EC-3850-005,20/01/2020,30/01/2020,CUST07217,Emmanuel,Chan,Single,Male,36431,Personal,VEH030GRYCVT-GAS,Gray,MG,ZS,2022,SUV,CVT,Gas,1070000,EMP0005,Andrea,Cruz,Manager,BR002,32000,77500,Bank Financing,WCB 4561
